Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,Interior Reflected Color L*,Interior Reflected Color a*,Interior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2157,LoE³ 366 S2,Float Glass - 6mm,2004,,0.2888,0.0509,19.66,0.2549,0.628,0.1089,39.41,-0.93,-3.58,40.91,0.32,-1.27,0.0434,Yes,No,,
Enthermal,Q452 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2105,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2013,0.5194,0.0958,37.23,-2.41,-2.48,45.86,-5.55,3.4,0.0139,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.2811,0.0495,20.2,0.2003,0.5168,0.0946,37.01,-2.48,-2.52,45.81,-5.54,3.38,0.0135,Yes,No,,
Enthermal,Q452 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2106,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.281,0.0495,20.21,0.2004,0.5149,0.0943,36.95,-2.46,-2.54,45.62,-5.63,3.4,0.0131,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 4mm,2002,,0.281,0.0495,20.21,0.199,0.5135,0.0945,36.98,-2.64,-2.41,45.81,-5.57,3.4,0.0132,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 5mm,2003,,0.2809,0.0495,20.21,0.1991,0.5117,0.0942,36.92,-2.62,-2.43,45.61,-5.66,3.41,0.0128,Yes,No,,
Enthermal,Q452 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2107,Quad LoE 452 S2,Float Glass - 6mm,2004,,0.2808,0.0495,20.22,0.1992,0.507,0.0939,36.87,-2.61,-2.44,45.34,-5.76,3.41,0.0125,Yes,No,,
Enthermal,SB60 4mm / Vacuum 0.25mm / Clear 4mm,8.15,Clear  4mm,5282,Solarban® 60 S2,Clear Float Glass,413,,0.3488,0.0614,16.28,0.3835,0.7145,0.1091,39.43,-1.26,-2.48,41.14,-2.84,1.81,0.1934,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5283,Solarban® 60 S2,Clear Float Glass,413,,0.3487,0.0614,16.28,0.3792,0.7112,0.1086,39.34,-1.39,-2.46,41.1,-2.88,1.81,0.1898,Yes,No,,
Enthermal,SB60 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5283,Solarban® 60 S2,Clear Float Glass,414,,0.3486,0.0614,16.29,0.3793,0.7064,0.1081,39.25,-1.43,-2.46,40.96,-2.99,1.83,0.1856,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.3737,0.707,0.1078,39.21,-1.55,-2.43,41.06,-2.93,1.81,0.1853,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.3738,0.7022,0.1073,39.12,-1.6,-2.43,40.92,-3.04,1.82,0.1813,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.3732,0.6974,0.1083,39.3,-1.71,-2.36,41.15,-3.23,1.8,0.1781,Yes,No,,
Enthermal,SB70 4mm / Vacuum 0.25mm / Clear 4mm,8.15,Solarban® 70 glass  4mm,5433,Solarban® 70 S2,Clear Float Glass,413,,0.2808,0.0494,20.22,0.2562,0.6532,0.1355,43.65,-3.1,-4.65,44.26,-1.43,-5.61,0.0653,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Solarban® 70 glass  5mm,5434,Solarban® 70 S2,Clear Float Glass,413,,0.2807,0.0494,20.23,0.2548,0.6501,0.1347,43.53,-3.26,-4.61,44.24,-1.46,-5.62,0.0641,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Solarban® 70 glass  5mm,5434,Solarban® 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.23,0.2549,0.6458,0.1342,43.47,-3.29,-4.61,44.07,-1.62,-5.52,0.0627,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,413,,0.2806,0.0494,20.23,0.2531,0.6462,0.1336,43.37,-3.48,-4.55,44.21,-1.49,-5.63,0.0625,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.24,0.2532,0.6419,0.1332,43.31,-3.51,-4.55,44.04,-1.65,-5.54,0.0612,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,415,,0.2805,0.0494,20.24,0.2528,0.6376,0.134,43.44,-3.59,-4.49,44.21,-1.92,-5.42,0.0602,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5475,Solarban® R67 S2,Clear Float Glass,413,,0.3503,0.0617,16.21,0.2728,0.5431,0.1915,50.99,-2.87,-6.96,47.16,-6.62,-7.18,0.1176,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5475,Solarban® R67 S2,Clear Float Glass,414,,0.3502,0.0617,16.22,0.2729,0.5395,0.1912,50.95,-2.88,-6.96,46.98,-6.73,-7.05,0.1148,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,413,,0.3501,0.0617,16.22,0.2697,0.5399,0.1898,50.79,-3.11,-6.9,47.14,-6.64,-7.18,0.1146,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,414,,0.35,0.0616,16.22,0.2698,0.5362,0.1895,50.76,-3.12,-6.89,46.96,-6.75,-7.05,0.1119,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,415,,0.3499,0.0616,16.23,0.2693,0.5327,0.1901,50.83,-3.18,-6.87,47.09,-6.9,-6.91,0.1098,Yes,No,,
Enthermal,SB60 Starphire 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Starphire®  5mm,5348,Solarban® 60 S2,Clear Float Glass,413,,0.3487,0.0614,16.28,0.4028,0.7276,0.1115,39.83,-0.68,-2.58,41.27,-2.64,1.82,0.2121,Yes,No,,
Enthermal,SB60 Starphire 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Starphire®  5mm,5348,Solarban® 60 S2,Clear Float Glass,414,,0.3486,0.0614,16.29,0.4029,0.7227,0.111,39.74,-0.72,-2.58,41.13,-2.75,1.83,0.2067,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Starphire®  6mm,5349,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.4018,0.7267,0.1114,39.8,-0.7,-2.58,41.27,-2.65,1.81,0.2115,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Starphire®  6mm,5349,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.4019,0.7218,0.1108,39.71,-0.75,-2.58,41.12,-2.77,1.83,0.2061,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Starphire®  6mm,5349,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.4013,0.7168,0.1119,39.89,-0.86,-2.51,41.35,-2.97,1.81,0.2017,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Starphire®  6mm,5435,Solarban® 72 S2,Clear Float Glass,413,,0.2803,0.0494,20.26,0.2647,0.6658,0.1353,43.58,-1.71,-4.53,44.24,-1.3,-5.61,0.0771,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Starphire®  6mm,5435,Solarban® 72 S2,Clear Float Glass,414,,0.2802,0.0494,20.26,0.2648,0.6613,0.1349,43.52,-1.74,-4.53,44.08,-1.47,-5.52,0.0751,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Starphire®  6mm,5435,Solarban® 72 S2,Clear Float Glass,415,,0.2801,0.0493,20.27,0.2644,0.6568,0.1358,43.65,-1.82,-4.47,44.25,-1.74,-5.41,0.0736,Yes,No,,
Enthermal,LUMI 4mm / Vacuum 0.25mm / Clear 4mm,8.25,SGG ECLAZ II 4mm,20754,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3932,0.0693,14.44,0.6338,0.8304,0.1139,40.39,-0.62,-3.62,40.65,0.21,-3.71,0.4483,Yes,Yes,0.637426,0.411255
Enthermal,LUMI 5mm / Vacuum 0.25mm / Clear 4mm,9.25,SGG ECLAZ II 5mm,20755,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3926,0.0691,14.46,0.6271,0.8278,0.1133,40.3,-0.76,-3.57,40.65,0.15,-3.59,0.4384,Yes,Yes,0.631194,0.410489
Enthermal,LUMI 5mm / Vacuum 0.25mm / Clear 5mm,10.25,SGG ECLAZ II 5mm,20755,ECLAZ II S2,SGG PLANICLEAR 5mm,21012,,0.3924,0.0691,14.47,0.6273,0.8252,0.1131,40.27,-0.85,-3.57,40.6,0.09,-3.53,0.4304,Yes,Yes,0.631191,0.410312
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 4mm,10.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3931,0.0692,14.44,0.6205,0.8251,0.113,40.25,-0.79,-3.52,40.58,0.18,-3.71,0.429,Yes,Yes,0.625003,0.411103
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 5mm,11.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 5mm,21012,,0.3929,0.0692,14.45,0.6206,0.8225,0.1128,40.22,-0.89,-3.52,40.54,0.12,-3.65,0.4216,Yes,Yes,0.624999,0.410926
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 6mm,12.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 6mm,21013,,0.3928,0.0692,14.46,0.6209,0.8199,0.1121,40.11,-0.96,-3.61,40.38,0.02,-3.78,0.4132,Yes,Yes,0.625117,0.410748
Enthermal,ZEN 4mm / Vacuum 0.25mm / Clear 4mm,8.25,SGG ECLAZ ONE II 4mm,20762,ECLAZ ONE II S2,SGG PLANICLEAR 4mm,21011,,0.3016,0.0531,18.82,0.5191,0.7853,0.176,49.29,-0.64,-7.1,46.7,0.22,-7.29,0.4248,Yes,Yes,0.521668,0.309946
Enthermal,ZEN 5mm / Vacuum 0.25mm / Clear 4mm,9.25,SGG ECLAZ ONE II 5mm,20763,ECLAZ ONE II S2,SGG PLANICLEAR 4mm,21011,,0.3032,0.0534,18.73,0.5141,0.7827,0.1749,49.16,-0.74,-7.16,46.67,0.17,-7.29,0.4153,Yes,Yes,0.517117,0.311716
Enthermal,ZEN 5mm / Vacuum 0.25mm / Clear 5mm,10.25,SGG ECLAZ ONE II 5mm,20763,ECLAZ ONE II S2,SGG PLANICLEAR 5mm,21012,,0.3031,0.0534,18.73,0.5142,0.7802,0.1748,49.14,-0.8,-7.17,46.61,0.08,-7.23,0.4078,Yes,Yes,0.517148,0.311615
Enthermal,ZEN 6mm / Vacuum 0.25mm / Clear 4mm,10.25,SGG ECLAZ ONE II 6mm,20764,ECLAZ ONE II S2,SGG PLANICLEAR 4mm,21011,,0.3045,0.0536,18.65,0.5093,0.7802,0.174,49.05,-0.89,-7.12,46.66,0.11,-7.22,0.4064,Yes,Yes,0.512729,0.313143
Enthermal,ZEN 6mm / Vacuum 0.25mm / Clear 5mm,11.25,SGG ECLAZ ONE II 6mm,20764,ECLAZ ONE II S2,SGG PLANICLEAR 5mm,21012,,0.3044,0.0536,18.65,0.5094,0.7778,0.1739,49.03,-0.96,-7.12,46.59,0.02,-7.16,0.3994,Yes,Yes,0.512758,0.313042
Enthermal,ZEN 6mm / Vacuum 0.25mm / Clear 6mm,12.25,SGG ECLAZ ONE II 6mm,20764,ECLAZ ONE II S2,SGG PLANICLEAR 6mm,21013,,0.3043,0.0536,18.66,0.5097,0.7753,0.1732,48.96,-1.0,-7.19,46.43,-0.1,-7.24,0.3914,Yes,Yes,0.512902,0.312940
Enthermal,SKN183 6mm / Vacuum 0.25mm / Clear 4mm,10.25,SGG COOL-LITE SKN 183 II 6mm,20896,COOL-LITE SKN 183 II S2,SGG PLANICLEAR 4mm,21011,,0.2855,0.0503,19.89,0.3483,0.7458,0.12,41.4,-1.2,-8.27,42.81,-2.64,-4.33,0.2825,Yes,Yes,0.354771,0.292044
Enthermal,SKN183 6mm / Vacuum 0.25mm / Clear 5mm,11.25,SGG COOL-LITE SKN 183 II 6mm,20896,COOL-LITE SKN 183 II S2,SGG PLANICLEAR 5mm,21012,,0.2854,0.0503,19.9,0.3484,0.7434,0.1199,41.37,-1.28,-8.27,42.76,-2.69,-4.26,0.2784,Yes,Yes,0.354808,0.291956
Enthermal,SKN183 6mm / Vacuum 0.25mm / Clear 6mm,12.25,SGG COOL-LITE SKN 183 II 6mm,20896,COOL-LITE SKN 183 II S2,SGG PLANICLEAR 6mm,21013,,0.2853,0.0502,19.9,0.3486,0.7411,0.1193,41.29,-1.33,-8.35,42.6,-2.8,-4.37,0.2736,Yes,Yes,0.354948,0.291868
Enthermal,XTREME 4mm / Vacuum 0.25mm / Clear 4mm,8.25,SGG COOL-LITE XTREME 61-29 II 4mm,20979,COOL-LITE XTREME 61-29 II S2,SGG PLANICLEAR 4mm,21011,,0.2998,0.0528,18.94,0.2402,0.6138,0.1107,39.85,-1.8,-6.29,45.7,-6.62,0.36,0.2368,Yes,Yes,0.249646,0.307874
Enthermal,XTREME 6mm / Vacuum 0.25mm / Clear 4mm,10.25,SGG COOL-LITE XTREME 61-29 II 6mm,20980,COOL-LITE XTREME 61-29 II S2,SGG PLANICLEAR 4mm,21011,,0.2947,0.0519,19.27,0.2384,0.6099,0.1099,39.7,-2.04,-6.23,45.69,-6.62,0.44,0.2288,Yes,Yes,0.248261,0.302222
Enthermal,XTREME 6mm / Vacuum 0.25mm / Clear 5mm,11.25,SGG COOL-LITE XTREME 61-29 II 6mm,20980,COOL-LITE XTREME 61-29 II S2,SGG PLANICLEAR 5mm,21012,,0.2946,0.0519,19.28,0.2384,0.608,0.1098,39.69,-2.09,-6.23,45.63,-6.69,0.48,0.2259,Yes,Yes,0.248291,0.302128
Enthermal,XTREME 6mm / Vacuum 0.25mm / Clear 6mm,12.25,SGG COOL-LITE XTREME 61-29 II 6mm,20980,COOL-LITE XTREME 61-29 II S2,SGG PLANICLEAR 6mm,21013,,0.2945,0.0519,19.28,0.2385,0.6061,0.1094,39.63,-2.12,-6.28,45.47,-6.83,0.36,0.2225,Yes,Yes,0.248381,0.302033
Enthermal,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solexia®  6mm,5254,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.284,0.6158,0.0926,36.49,-4.13,-1.27,40.17,-3.66,1.93,0.1009,Yes,No,,
Enthermal,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solexia®  6mm,5254,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2841,0.6118,0.0922,36.42,-4.14,-1.27,40.04,-3.75,1.94,0.0992,Yes,No,,
Enthermal,SB60 Solexia 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solexia®  6mm,5254,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2836,0.6077,0.093,36.57,-4.26,-1.2,40.29,-3.92,1.92,0.0979,Yes,No,,
Enthermal,SB60 Solarbronze 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solarbronze®  6mm,5274,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.2413,0.4239,0.0665,30.9,0.56,0.23,38.54,-2.16,2.09,0.0836,Yes,No,,
Enthermal,SB60 Solarbronze 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solarbronze®  6mm,5274,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2414,0.421,0.0663,30.86,0.53,0.22,38.42,-2.25,2.09,0.0821,Yes,No,,
Enthermal,SB60 Solarbronze 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solarbronze®  6mm,5274,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.241,0.4181,0.0667,30.94,0.5,0.27,38.7,-2.43,2.07,0.081,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.2101,0.3543,0.0595,29.28,0.08,-2.09,38.11,-2.38,1.48,0.0803,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2102,0.3519,0.0594,29.25,0.06,-2.08,37.99,-2.46,1.49,0.079,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2098,0.3495,0.0596,29.31,0.02,-2.06,38.29,-2.63,1.48,0.0779,Yes,No,,
